Cluster Name,Environment,Cluster Descriptor,Namespace,CVE,Fixable,Severity,CVSS,Env. Impact,Impact Score,Published On,Discovered On,Link,Summary
aap,cluster,,aap,CVE-2023-49569,Not Fixable,Critical,9.8,0%,5.90,,2024-02-27T03:55:44.176965891Z,https://access.redhat.com/security/cve/CVE-2023-49569,"DOCUMENTATION: A path traversal vulnerability was discovered in the go library go-git. This issue may allow an attacker to create and amend files across the filesystem when applications are using the default ChrootOS, potentially allowing remote code execution. 
            STATEMENT: This problem only affects the go implementation and not the original git cli code. Applications using BoundOS or in-memory filesystems are not affected by this issue. Clients should be limited to connect to only trusted git servers to reduce the risk of compromise.
            MITIGATION: In cases where a bump to the latest version of go-git is not possible, a recommendation to reduce the exposure of this threat is limiting its use to only trust-worthy Git servers."
aap,cluster,,aap,CVE-2022-1996,Not Fixable,Important,9.1,0%,5.20,,2024-02-27T03:55:44.176965891Z,https://access.redhat.com/security/cve/CVE-2022-1996,"DOCUMENTATION: A flaw was found in CORS Filter feature from the go-restful package. When a user inputs a domain which is in AllowedDomains, all domains starting with the same pattern are accepted. This issue could allow an attacker to break the CORS policy by allowing any page to make requests and retrieve data on behalf of users. 
            STATEMENT: The go-restful package is a transitive dependency which is being pulled with k8s.io/api and not directly being used anywhere in OpenShift Container Platform (OCP), OpenShift Container Storage and OpenShift Data Foundation, hence these components are marked as 'Will not fix' or even ""Not affected""."
aap,cluster,,aap,CVE-2023-37920,Not Fixable,Low,9.1,14%,5.20,,2024-02-26T07:19:16.527668062Z,https://access.redhat.com/security/cve/CVE-2023-37920,"DOCUMENTATION: A flaw was found in the python-certifi package. This issue occurs when the e-Tugra root certificate in Certifi is removed, resulting in an unspecified error that has an unknown impact and attack vector."
aap,cluster,,aap,CVE-2021-3682,Not Fixable,Moderate,8.5,0%,6.00,,2024-02-27T03:55:44.176965891Z,https://access.redhat.com/security/cve/CVE-2021-3682,"DOCUMENTATION: A flaw was found in the USB redirector device emulation of QEMU. It occurs when dropping packets during a bulk transfer from a SPICE client due to the packet queue being full. A malicious SPICE client could use this flaw to make QEMU call free() with faked heap chunk metadata, resulting in a crash of QEMU or potential code execution with the privileges of the QEMU process on the host. 
            STATEMENT: This issue affects the versions of `qemu-kvm` as shipped with Red Hat Enterprise Linux 8 and Red Hat Enterprise Linux 8 Advanced Virtualization. A future update may address this flaw.
            MITIGATION: Mitigation for this issue is either not available or the currently available options do not meet the Red Hat Product Security criteria comprising ease of use and deployment, applicability to widespread installation base or stability."
aap,cluster,,aap,CVE-2021-42694,Not Fixable,Moderate,8.5,14%,6.00,,2024-02-26T07:19:16.527668062Z,https://access.redhat.com/security/cve/CVE-2021-42694,"DOCUMENTATION: A flaw was found in the way Unicode standards are implemented in the context of development environments, which have specialized requirements for rendering text. Homoglyphs are different Unicode characters that, to the naked eye, look the same.  An attacker could use homoglyphs to deceive a human reviewer by creating a malicious patch containing functions that look similar to standard library functions, such as print, but replace one character with a homoglyph. This function can then be defined in an upstream dependency to launch source code-related attacks. 
            STATEMENT: This is a flaw with the way unicode standards are implemented in the context of development environments, which have specialized requirements for rendering text. It is not a flaw in Red Hat products."
aap,cluster,,aap,CVE-2024-22667,Not Fixable,Low,8.4,3%,5.90,,2024-02-26T11:16:46.931216504Z,https://access.redhat.com/security/cve/CVE-2024-22667,"DOCUMENTATION: A stack-based buffer overflow flaw was found in Vim. The did_set_langmap function in map.c calls sprintf to write to the error buffer that is passed down to the option callback functions. That buffer can be overflown, possibly leading to memory corruption and escalation of privileges. 
            STATEMENT: Escalation of privilege may only be attained if the Vim binary can be run with non-default higher privileges, which is a rare scenario, for example, setuid. Hence, the Moderate severity."
aap,cluster,,aap,CVE-2019-17543,Not Fixable,Moderate,8.1,14%,5.90,,2024-02-28T06:55:10.883770178Z,https://access.redhat.com/security/cve/CVE-2019-17543,"DOCUMENTATION: The MITRE CVE dictionary describes this issue as: LZ4 before 1.9.2 has a heap-based buffer overflow in LZ4_write32 (related to LZ4_compress_destSize), affecting applications that call LZ4_compress_fast with a large input. (This issue can also lead to data corruption.) NOTE: the vendor states ""only a few specific / uncommon usages of the API are at risk."" 
            STATEMENT: As per upstream this flaw cannot be exploited under normal documented use of the LZ4 library API. Also this flaw is only present in the lz4 library and the application binaries shipped with this application are not affected by it. 

Red Hat OpenStack Platform 10 packages an older version of lz4 that has the flawed code. However, because OpenStack has been using RHEL's updated lz4 version since RHEL7.5 started to include it, Red Hat is not currently updating the OpenStack lz4 package."
aap,cluster,,aap,CVE-2021-43816,Not Fixable,Low,8.0,0%,6.00,,2024-02-27T03:55:44.176965891Z,https://access.redhat.com/security/cve/CVE-2021-43816,"DOCUMENTATION: An incorrect permission assignment flaw was found in containerd. This flaw allows a local attacker to use a specially designed text file to read and write files outside of the container's scope. 
            STATEMENT: Because Red Hat OpenStack Platform's director-operator does not use hostPath volumes, the RHOSP Impact has been rated Low impact and no updates will be provided at this time for its containers.

In Red Hat OpenShift Container Platform (OCP) the containerd package is not actually used, but because the containerd API is supported the core OCP components are listed as affected by this CVE and the impact is reduced to Low."
aap,cluster,,aap,RHSA-2024:0975,Fixable,Important,8.0,5%,5.90,2024-02-26T00:00:00Z,2024-02-26T11:16:45.920143731Z,https://access.redhat.com/errata/RHSA-2024:0975,"PostgreSQL is an advanced object-relational database management system (DBMS).

Security Fix(es):

* postgresql: non-owner 'REFRESH MATERIALIZED VIEW CONCURRENTLY' executes arbitrary SQL (CVE-2024-0985)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
aap,cluster,,aap,CVE-2018-20225,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2018-20225,"DOCUMENTATION: A flaw was found in python-pip. The software installs the version with the highest version number, even if the user had intended to obtain a private package from a private index. This only affects use of the --extra-index-url option, and exploitation requires that the package does not already exist in the public index (and thus the attacker can put the package there with an arbitrary version number). 
            STATEMENT: Although this issue affects versions of pip shipped with Red Hat Enterprise Linux, Red Hat Software Collections and Red Hat CodeReady Workspaces, Red Hat Product Security does not consider this to be a security vulnerability because per the pip documentation, this is intended behavior of pip when using the --extra-index-url flag. Therefore, this issue has been marked WONTFIX.
            MITIGATION: To protect from any unintended behavior,  use --index-url and do not use --extra-index-url OR explicitly set --index-url and use --extra-index-url."
aap,cluster,,aap,CVE-2020-15778,Not Fixable,Moderate,7.8,1%,5.90,,2024-02-27T03:55:44.176965891Z,https://access.redhat.com/security/cve/CVE-2020-15778,"DOCUMENTATION: A flaw was found in the scp program shipped with the openssh-clients package. An attacker having the ability to scp files to a remote server, could execute arbitrary commands on the remote server by including the command as a part of the filename being copied on the server. This command is run with the permissions of user with which the files were copied on the remote server. The highest threat from this vulnerability is to data confidentiality and integrity as well as system availability. 
            STATEMENT: This security flaw lies in the way scp command parses its command line arguments. The SSH protocol or any other applications shipped as a part of openssh-clients packages are not vulnerable.

In order to exploit this flaw, the attacker needs to social engineer or manipulate a system administrator (who has root access on the remote server)  to run scp with a malicious command line parameter. 

Administrators can uninstall openssh-clients for additional protection against accidental usage of this binary. Removing the openssh-clients package will make binaries like scp and ssh etc unavailable on that system. Also administrators can change the execute permissions on the scp binary. However this mitigation will be in place until the openssh-clients package is updated.
            MITIGATION: As per upstream, because of the way scp is based on a historical protocol called rcp which relies on that style of argument passing and therefore encounters expansion problems. Making changes to how the scp command line works breaks the pattern used by scp consumers. Upstream therefore recommends the use of rsync in the place of scp for better security. More details about supported alternatives available at: https://access.redhat.com/articles/5284081"
aap,cluster,,aap,CVE-2020-1712,Not Fixable,Important,7.8,2%,5.90,,2024-02-28T06:55:15.068400421Z,https://access.redhat.com/security/cve/CVE-2020-1712,"DOCUMENTATION: A heap use-after-free vulnerability was found in systemd, where asynchronous Polkit queries are performed while handling dbus messages. A local unprivileged attacker can abuse this flaw to crash systemd services or potentially execute code and elevate their privileges, by sending specially crafted dbus messages. 
            STATEMENT: This issue did not affect the versions of systemd as shipped with Red Hat Enterprise Linux 7 as there is no service that performs asynchronous polkit requests in a vulnerable way.

The version of systemd delivered in OpenShift Container Platform 4.1 and included in CoreOS images has been superseded by the version delivered in Red Hat Enterprise Linux 8. CoreOS updates for systemd in will be consumed from Red Hat Enterprise Linux 8 channels."
aap,cluster,,aap,CVE-2022-1619,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2022-1619,"DOCUMENTATION: A flaw was found in vim, which is vulnerable to a heap-buffer-overflow in cmdline_erase_chars of the ex_getln.c function. This flaw allows a specially crafted file to crash software, modify memory or execute code when opened in vim. 
            STATEMENT: Red Hat Product Security has rated this issue as having a Low security impact, because the ""victim"" has to run an untrusted file IN SCRIPT MODE. Someone who is running untrusted files in script mode is equivalent to someone just taking a random python script and running it.

For additional information, refer to the Issue Severity Classification: https://access.redhat.com/security/updates/classification/"
aap,cluster,,aap,CVE-2022-2124,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2022-2124,"DOCUMENTATION: The MITRE CVE dictionary describes this issue as: Buffer Over-read in GitHub repository vim/vim prior to 8.2. 
            STATEMENT: Red Hat Product Security has rated this issue as having a Low security impact, because the ""victim"" has to run an untrusted file IN SCRIPT MODE. Someone who is running untrusted files in script mode is equivalent to someone just taking a random python script and running it.

For additional information, refer to the Issue Severity Classification: https://access.redhat.com/security/updates/classification/

Red Hat Enterprise Linux 6 and 7 are out of support scope for this flaw. To learn more about RHEL support scopes, please see https://access.redhat.com/support/policy/updates/errata/ ."
aap,cluster,,aap,CVE-2022-2125,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2022-2125,"DOCUMENTATION: The MITRE CVE dictionary describes this issue as: Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2. 
            STATEMENT: Red Hat Product Security has rated this issue as having a Low security impact, because the ""victim"" has to run an untrusted file IN SCRIPT MODE. Someone who is running untrusted files in script mode is equivalent to someone just taking a random python script and running it.

For additional information, refer to the Issue Severity Classification: https://access.redhat.com/security/updates/classification/

Red Hat Enterprise Linux 6 and 7 are out of support scope for this flaw. To learn more about RHEL support scopes, please see https://access.redhat.com/support/policy/updates/errata/ ."
aap,cluster,,aap,CVE-2022-2126,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2022-2126,"DOCUMENTATION: The MITRE CVE dictionary describes this issue as: Out-of-bounds Read in GitHub repository vim/vim prior to 8.2. 
            STATEMENT: Red Hat Product Security has rated this issue as having a Low security impact, because the ""victim"" has to run an untrusted file IN SCRIPT MODE. Someone who is running untrusted files in script mode is equivalent to someone just taking a random python script and running it.

For additional information, refer to the Issue Severity Classification: https://access.redhat.com/security/updates/classification/

Red Hat Enterprise Linux 6 and 7 are out of support scope for this flaw. To learn more about RHEL support scopes, please see https://access.redhat.com/support/policy/updates/errata/ ."
aap,cluster,,aap,CVE-2022-2129,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2022-2129,"DOCUMENTATION: The MITRE CVE dictionary describes this issue as: Out-of-bounds Write in GitHub repository vim/vim prior to 8.2. 
            STATEMENT: Red Hat Product Security has rated this issue as having a Low security impact, because the ""victim"" has to run an untrusted file IN SCRIPT MODE. Someone who is running untrusted files in script mode is equivalent to someone just taking a random python script and running it.

For additional information, refer to the Issue Severity Classification: https://access.redhat.com/security/updates/classification/

Red Hat Enterprise Linux 6 and 7 are out of support scope for this flaw. To learn more about RHEL support scopes, please see https://access.redhat.com/support/policy/updates/errata/ ."
aap,cluster,,aap,CVE-2022-2175,Not Fixable,Low,7.8,3%,5.90,,2024-02-26T07:19:43.124126466Z,https://access.redhat.com/security/cve/CVE-2022-2175,"DOCUMENTATION: A heap buffer over-read vulnerability was found in Vim's put_on_cmdline() function of the src/ex_getln.c file. This issue occurs due to invalid memory access when using an expression on the command line. This flaw allows an attacker to trick a user into opening a specially crafted file, triggering a heap buffer overflow that causes an application to crash and corrupt memory. 
            STATEMENT: All versions of Vim shipped with Red Hat Enterprise Linux are affected, because of the presence of vulnerable code in our code-base.

Red Hat Product Security has rated this issue as having a Low security impact because the ""victim"" has to run an untrusted file IN SCRIPT MODE. Someone who is running untrusted files in script mode is equivalent to someone just taking a random python script and running it.

Since Red Hat Enterprise Linux 6, 7 are Out-of-Support-Scope for Low/Moderate flaws, the issue is not currently planned to be addressed in future updates for RHEL-6,7. Only Important and Critical severity flaws will be addressed at this time.

For additional information, refer to the Issue Severity Classification: https://access.redhat.com/security/updates/classification/ and Red Hat Enterprise Linux Life Cycle & Updates Policy: https://access.redhat.com/support/policy/updates/errata/.
            MITIGATION: Untrusted vim scripts with -s [scriptin] are not recommended to run."
