Cluster Name,Environment,Cluster Descriptor,CVE,Fixable,Severity,CVSS,Env. Impact,Impact Score,Nodes,Published On,Discovered On,Link,Summary
production,,,RHSA-2023:4093,Fixable,Important,9.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-07-20T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:4093,"Red Hat OpenShift Container Platform is Red Hat's cloud computing Kubernetes application platform solution designed for on-premise or private cloud deployments.

This advisory contains the RPM packages for Red Hat OpenShift Container Platform 4.13.5. See the following advisory for the container images for this release:

https://access.redhat.com/errata/RHSA-2023:4091

Security Fix(es):

* openshift: OCP & FIPS mode (CVE-2023-3089)

* kube-apiserver: PrivEsc (CVE-2023-1260)

* golang: net/http, net/textproto: denial of service from excessive memory allocation (CVE-2023-24534)

* golang: net/http, net/textproto, mime/multipart: denial of service from excessive resource consumption (CVE-2023-24536)

* golang: go/parser: Infinite loop in parsing (CVE-2023-24537)

* golang: html/template: backticks not treated as string delimiters (CVE-2023-24538)

* golang: html/template: improper sanitization of CSS values (CVE-2023-24539)

* runc: volume mount race condition (regression of CVE-2019-19921) (CVE-2023-27561)

* golang: html/template: improper handling of empty HTML attributes (CVE-2023-29400)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.

All OpenShift Container Platform 4.13 users are advised to upgrade to these updated packages and images when they are available in the appropriate release channel. To check for available updates, use the OpenShift CLI (oc) or web console. Instructions for upgrading a cluster are available at https://docs.openshift.com/container-platform/4.13/updating/updating-cluster-cli.html"
production,,,RHSA-2023:3536,Fixable,Important,9.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-06-13T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:3536,"Red Hat OpenShift Container Platform is Red Hat's cloud computing Kubernetes application platform solution designed for on-premise or private cloud deployments.

This advisory contains the RPM packages for Red Hat OpenShift Container Platform 4.13.3. See the following advisory for the container images for this release:

https://access.redhat.com/errata/RHSA-2023:3537

Security Fix(es):

* flask: Possible disclosure of permanent session cookie due to missing Vary: Cookie header (CVE-2023-30861)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.

All OpenShift Container Platform 4.13 users are advised to upgrade to these updated packages and images when they are available in the appropriate release channel. To check for available updates, use the OpenShift CLI (oc) or web console. Instructions for upgrading a cluster are available at https://docs.openshift.com/container-platform/4.13/updating/updating-cluster-cli.html"
production,,,RHSA-2023:3612,Fixable,Important,9.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-06-23T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:3612,"Red Hat OpenShift Container Platform is Red Hat's cloud computing Kubernetes application platform solution designed for on-premise or private cloud deployments.

This advisory contains the RPM packages for Red Hat OpenShift Container Platform 4.13.4. See the following advisory for the container images for this release:

https://access.redhat.com/errata/RHSA-2023:3614

Security Fix(es):

* golang: html/template: improper handling of JavaScript whitespace
(CVE-2023-24540)

* golang: net/http: excessive memory growth in a Go server accepting HTTP/2
requests (CVE-2022-41717)

* golang: crypto/tls: large handshake records may cause panics
(CVE-2022-41724)

* golang: net/http, mime/multipart: denial of service from excessive
resource consumption (CVE-2022-41725)

* golang: net/http, net/textproto: denial of service from excessive memory
allocation (CVE-2023-24534)

* golang: net/http, net/textproto, mime/multipart: denial of service from
excessive resource consumption (CVE-2023-24536)

* golang: go/parser: Infinite loop in parsing (CVE-2023-24537)

* golang: html/template: backticks not treated as string delimiters
(CVE-2023-24538)

* runc: volume mount race condition (regression of CVE 2019-19921)
(CVE-2023-27561)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.

All OpenShift Container Platform 4.13 users are advised to upgrade to these updated packages and images when they are available in the appropriate release channel. To check for available updates, use the OpenShift CLI (oc) or web console. Instructions for upgrading a cluster are available at https://docs.openshift.com/container-platform/4.13/updating/updating-cluster-cli.html"
production,,,RHSA-2023:4412,Fixable,Important,9.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-08-01T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:4412,"OpenSSH is an SSH protocol implementation supported by a number of Linux, UNIX, and similar operating systems. It includes the core files necessary for both the OpenSSH client and server.

Security Fix(es):

* openssh: Remote code execution in ssh-agent PKCS#11 support (CVE-2023-38408)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,RHSA-2023:7371,Fixable,Moderate,9.1,80%,5.20,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-11-21T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:7371,"Samba is an open-source implementation of the Server Message Block (SMB) protocol and the related Common Internet File System (CIFS) protocol, which allow PC-compatible machines to share files, printers, and various information.

Security Fix(es):

* samba: smbd allows client access to unix domain sockets on the file system as root (CVE-2023-3961)

* samba: SMB clients can truncate files with read-only permissions (CVE-2023-4091)

* samba: ""rpcecho"" development server allows denial of service via sleep() call on AD DC (CVE-2023-42669)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,CVE-2022-1996,Not Fixable,Important,9.1,100%,5.20,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/security/cve/CVE-2022-1996,"DOCUMENTATION: A flaw was found in CORS Filter feature from the go-restful package. When a user inputs a domain which is in AllowedDomains, all domains starting with the same pattern are accepted. This issue could allow an attacker to break the CORS policy by allowing any page to make requests and retrieve data on behalf of users. 
            STATEMENT: The go-restful package is a transitive dependency which is being pulled with k8s.io/api and not directly being used anywhere in OpenShift Container Platform (OCP), OpenShift Container Storage and OpenShift Data Foundation, hence these components are marked as 'Will not fix' or even ""Not affected""."
production,,,CVE-2022-3294,Not Fixable,Moderate,8.8,100%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",,2024-02-29T05:47:23.342076098Z,https://access.redhat.com/security/cve/CVE-2022-3294,"DOCUMENTATION: A flaw was found in Kubernetes, where users may have access to secure endpoints in the control plane network. Kubernetes supports node proxying, which allows clients of kube-apiserver to access endpoints of a Kubelet to establish connections to Pods, retrieve container logs, and more. While Kubernetes already validates the proxying address for Nodes, a bug in the kube-apiserver made it possible to bypass this validation. Bypassing this validation allows authenticated requests destined for Nodes to redirect to the API Server through its private network. 
            STATEMENT: Kubernetes clusters are only affected if an untrusted user can modify Node objects and send requests proxying through them."
production,,,RHSA-2023:5069,Fixable,Important,8.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-09-12T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:5069,"The kernel packages contain the Linux kernel, the core of any Linux operating system.

The following packages have been upgraded to a later upstream version: kernel (5.14.0).

Security Fix(es):

* kernel: UAF in nftables when nft_set_lookup_global triggered after handling named and anonymous sets in batch requests (CVE-2023-3390)

* kernel: netfilter: nf_tables: fix chain binding transaction logic in the abort path of NFT_MSG_NEWRULE (CVE-2023-3610)

* kernel: net/sched: cls_fw component can be exploited as result of failure in tcf_change_indev function (CVE-2023-3776)

* kernel: netfilter: use-after-free due to improper element removal in nft_pipapo_remove() (CVE-2023-4004)

* kernel: netfilter: nf_tables_newrule when adding a rule with NFTA_RULE_CHAIN_ID leads to use-after-free (CVE-2023-4147)

* kernel: nf_tables: use-after-free in nft_chain_lookup_byid() (CVE-2023-31248)

* kernel: nf_tables: stack-out-of-bounds-read in nft_byteorder_eval() (CVE-2023-35001)

* kernel: save/restore speculative MSRs during S3 suspend/resume (CVE-2023-1637)

* hw: amd: Cross-Process Information Leak (CVE-2023-20593)

* kernel: bypass of shadow stack protection due to a logic error (CVE-2023-21102)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.

Bug Fix(es):

* [Intel 9.3 BUG] [SPR][EMR][FHF] ACPI: Fix system hang during S3 wakeup (BZ#2218026)

* [Dell 9.2 BUG] Monitor lost after replug WD19TBS to SUT port wiith VGA/DVI to type-C dongle (BZ#2219463)

* rtmutex: Incorrect waiter woken when requeueing in rt_mutex_adjust_prio_chain() (BZ#2222121)

* RHEL AWS ARM Instability During Microshift e2e tests (BZ#2223310)

* RHEL 9.x updates for SEV-SNP guest support (BZ#2224587)

* Lock state corruption from nested rtmutex blocking in blk_flush_plug() (BZ#2225623)

* bpf_jit_limit hit again - copy_seccomp() fix (BZ#2226945)

* libceph: harden msgr2.1 frame segment length checks (BZ#2227070)

* Temporary values used for the FIPS integrity test should be zeroized after use (BZ#2227768)

* Important iavf bug fixes July 2023 (BZ#2228156)

* [i40e/ice] error: Cannot set interface MAC/vlanid to 1e:b7:e2:02:b1:aa/0 for ifname ens4f0 vf 0: Resource temporarily unavailable (BZ#2228158)

* lvconvert --splitcache, --uncache operations getting hung (BZ#2228481)

* perf: EMR core and uncore PMU support (BZ#2230175)

* NVIDIA - Grace: Backport i2c: tegra: Set ACPI node as primary fwnode (BZ#2230483)

* NVIDIA - Grace: Backport i2c: tegra: Fix PEC support for SMBUS block read (BZ#2230488)

* [Hyper-V][RHEL 9]incomplete fc_transport implementation in storvsc causes null dereference in fc_timed_out() (BZ#2230747)

* Kernel config option CONFIG_CRYPTO_STATS should be disabled until it is enhanced (BZ#2231850)

* [RHEL 9][Hyper-V]Excessive hv_storvsc driver logging with srb_status  SRB_STATUS_INTERNAL_ERROR  (0x30) (BZ#2231990)

* RHEL-9: WARNING: bad unlock balance detected! (BZ#2232213)

* NVIDIA - Grace: Backport drm/ast patch expected for kernel 6.4 (BZ#2232302)

* [Lenovo 9.1 bug]   RHEL 9 will hang when ""echo c > /proc/sysrq-trigger"". (BZ#2232700)

* [RHEL-9] bz2022169 in /kernel/general/process/reg-suit fails on aarch64  (/proc/[pid]/wchan broken) (BZ#2233928)

Enhancement(s):

* [Intel 9.3 FEAT] cpufreq: intel_pstate: Enable HWP IO boost for all servers (BZ#2210270)

* [Dell 9.3 FEAT] - New MB with AMP Codec Change on Maya Bay (audio driver) (BZ#2218960)

* [Lenovo 9.3 FEAT] MDRAID - Update to the latest upstream (BZ#2221170)

* [Intel 9.3 FEAT] [EMR] Add EMR support to uncore-frequency driver (BZ#2230169)"
production,,,RHSA-2023:4347,Fixable,Moderate,8.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-08-01T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:4347,"Libeconf is a highly flexible and configurable library to parse and manage key=value configuration files. It reads configuration file snippets from different directories and builds the final configuration file from it.

Security Fix(es):

* libeconf: stack-based buffer overflow in read_file() in lib/getfilecontents.c (CVE-2023-22652)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,RHSA-2023:7370,Fixable,Important,8.8,80%,5.90,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-11-21T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:7370,"The kernel packages contain the Linux kernel, the core of any Linux operating system.

Security Fix(es):

* kernel: tun: bugs for oversize packet when napi frags enabled in tun_napi_alloc_frags (CVE-2023-3812)

* kernel: net/sched: multiple vulnerabilities (CVE-2023-3609, CVE-2023-4128, CVE-2023-4206, CVE-2023-4207, CVE-2023-4208)

* kernel: use after free in nvmet_tcp_free_crypto in NVMe (CVE-2023-5178)

* kernel: netfilter: potential slab-out-of-bound access due to integer underflow (CVE-2023-42753)

* kernel: AMD: Cross-Thread Return Address Predictions (CVE-2022-27672)

* hw: Intel: Gather Data Sampling (GDS) side channel vulnerability (CVE-2022-40982)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.

Bug Fix(es):

* RHEL9.0.z - kdump service failed to start when 32TB lpar is activated with desired_memory 100gb and max memory 32TB. (BZ#2192539)

* RHEL 9.0 - system hang during 6th EEH (BZ#2192561)

* RHEL9.0 - kernel: fix __clear_user() inline assembly constraints (BZ#2192599)

* LPAR is crashed by Phyp when doing DLPAR CPU operations (BZ#2193372)

* RHEL 9.2 - Wrong numa_node is assigned to vpmem device (BZ#2212450)

* Rhel9.2 - drmgr command  is failing (BZ#2213789)

* [Intel 9.2] IOMMU: QAT Device Address Translation Issue with Invalidation Completion Ordering (BZ#2221161)

* [RHEL9.3] intel_pstate may provide incorrect scaling values for hybrid capable systems with E-cores disabled (BZ#2221268)

* [DELL SFSS] NVMe-TCP: kernel panic during connect/delete_controller tests (BZ#2227780)

* LPM of RHEL client lpar got failed with error HSCLA2CF in 19th loops (BZ#2230270)

* rbd: exclusive lock blocklisting and osd_request_timeout handling fixes (BZ#2231460)

* openvswitch needs a stable hash in the kernel module (BZ#2232136)

* [Intel 9.3] iavf: Driver Update (BZ#2232387)

* [openvswitch] Add drop reasons to openvswitch (BZ#2233104)

* [RHEL9] Percpu counter usage is gradually getting increasing during podman container recreation (BZ#2233214)

* enable conntrack clash resolution for GRE (BZ#2233799)

* [Hyper-V][RHEL-9] hv_storvsc driver logging excessive storvsc_log events for storvsc_on_io_completion() (BZ#2234834)

* [e1000e] Intel 219-LM need to disable TSO to increase the speed (BZ#2235668)

* Update lpfc 14.2.0.12 for RHEL 9.3 Inbox with 6 bug fixes from 14.2.0.14 (BZ#2235785)

* backport 'Revert ""softirq: Let ksoftirqd do its job""' from upstream (BZ#2236415)

* NAT sport clash in OCP causing 1 second TCP connection establishment delay (BZ#2236513)

* RHEL9.2 RC build - LTP test via SLS suite fails with a crash after running for 19hrs (BZ#2236699)

* Container CPU affinity not set properly on Openshift using RHEL 9.2 (BZ#2236859)

* NFSv4.0 client hangs when server reboot while client had outstanding lock request to the server (BZ#2237841)

* VMs deployed with RT workloads getting interrupted - vmstat_update (BZ#2238026)

* core: backports from upstream (BZ#2238027)

* SCSI updates for RHEL 9.3 (BZ#2238410)

* Regression of 3b8cc6298724 (""blk-cgroup: Optimize blkcg_rstat_flush()"") (BZ#2238721)

* NOHZ_FULL, and CFS quota co-existance (BZ#2240227)

* Kernel doesn't boot on AWS SEV-SNP enabled instances (BZ#2241202)

* RHEL 9.2 crash issue when creating SR-IOV VFs from E810 in switchdev mode (BZ#2241879)

Enhancement(s):

* [Intel 9.3 FEAT] [EMR] power: Add EMR support to intel_rapl and intel_idle drivers (BZ#2230167, BZ#2230168)

* [Intel 9.3 FEAT] [EMR] power: intel-speed-select tool support for EMR (BZ#2230170)

* [Intel 9.3 FEAT] [EMR] RAS: Add EDAC support for EMR (BZ#2230172)

* [RHEL 9.3 FEAT] update turbostat to upstream 6.3 (BZ#2230174)

* [Lenovo 9.3 FEAT] drivers/nvme - Update to the latest upstream (BZ#2231219)

* [Intel 9.4 FEAT] [EMR] Support intel-uncore-frequency driver (BZ#2239450)

* ice: Enable DPLL support (BZ#2242556)"
production,,,RHSA-2024:0662,Fixable,Moderate,8.6,100%,6.00,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2024-02-07T00:00:00Z,2024-02-29T05:47:23.342076098Z,https://access.redhat.com/errata/RHSA-2024:0662,"Red Hat OpenShift Container Platform is Red Hat's cloud computing Kubernetes application platform solution designed for on-premise or private cloud deployments.

This advisory contains the RPM packages for Red Hat OpenShift Container
Platform 4.13.32. See the following advisory for the container images for
this release:

https://access.redhat.com/errata/RHSA-2024:0660

All OpenShift Container Platform 4.13 users are advised to upgrade to these
updated packages and images when they are available in the appropriate
release channel. To check for available updates, use the OpenShift Console
or the CLI oc command. Instructions for upgrading a cluster are available
at
https://docs.openshift.com/container-platform/4.13/updating/updating-cluster-cli.html

Security Fix(es):

* runc: file descriptor leak ""Leaky Vessels"" (CVE-2024-21626)

A Red Hat Security Bulletin which addresses further details about the Leaky Vessels flaw is available in the References section.

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.

All OpenShift Container Platform 4.13 users are advised to upgrade to these updated packages and images when they are available in the appropriate release channel. To check for available updates, use the OpenShift CLI (oc) or web console. Instructions for upgrading a cluster are available at https://docs.openshift.com/container-platform/4.13/updating/updating-cluster-cli.html"
production,,,CVE-2020-26159,Not Fixable,Moderate,8.6,100%,4.70,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/security/cve/CVE-2020-26159,"DOCUMENTATION: A flaw was found in oniguruma. An attacker, able to supply a regular expression for compilation, may be able to overflow a buffer by one byte in concat_opt_exact_str in src/regcomp.c . 
            STATEMENT: Red Hat Ceph Storage 4 is not affected because the affected method, concat_opt_exact_str is not shipped. However, there is an identical flaw in concat_opt_exact_info_str and concat_opt_exact_info, which do not exist in the most recent version of oniguruma as methods. The impact is rated as low because we ship an older version without this exact exploit, so an attacker could not simply copy and paste this exploit, but would need to dig into the code itself and modify this attack for the older version of the code.
            MITIGATION: Mitigation for this issue is either not available or the currently available options do not meet the Red Hat Product Security criteria comprising ease of use and deployment, applicability to widespread installation base or stability."
production,,,RHSA-2024:0755,Fixable,Important,8.6,100%,6.00,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2024-02-08T00:00:00Z,2024-02-29T05:47:23.342076098Z,https://access.redhat.com/errata/RHSA-2024:0755,"The runC tool is a lightweight, portable implementation of the Open Container Format (OCF) that provides container runtime.

Security Fix(es):

* runc: file descriptor leak (CVE-2024-21626)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,RHSA-2023:5462,Fixable,Important,8.6,80%,4.00,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-10-05T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:5462,"Python is an interpreted, interactive, object-oriented programming language, which includes modules, classes, exceptions, very high level dynamic data types and dynamic typing. Python supports interfaces to many system calls and libraries, as well as to various windowing systems.

Security Fix(es):

* python: TLS handshake bypass (CVE-2023-40217)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,RHSA-2023:7368,Fixable,Moderate,8.6,80%,4.70,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2023-11-21T00:00:00Z,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/errata/RHSA-2023:7368,"The c-ares C library defines asynchronous DNS (Domain Name System) requests and provides name resolving API.

Security Fix(es):

* c-ares: buffer overflow in config_sortlist() due to missing string length check (CVE-2022-4904)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,RHSA-2024:0381,Fixable,Important,8.2,80%,6.00,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2024-01-23T00:00:00Z,2024-02-29T05:47:23.342076098Z,https://access.redhat.com/errata/RHSA-2024:0381,"This is a kernel live patch module which is automatically loaded by the RPM post-install script to modify the code of a running kernel.

Security Fix(es):

* kernel: bpf: Incorrect verifier pruning leads to unsafe code paths being incorrectly marked as safe (CVE-2023-2163)

* kernel: use after free in unix_stream_sendpage (CVE-2023-4622)

* kernel: net/sched: sch_hfsc UAF (CVE-2023-4623)

* kernel: eBPF: insufficient stack type checks in dynptr (CVE-2023-39191)

* kernel: IGB driver inadequate buffer size for frames larger than MTU (CVE-2023-45871)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
production,,,CVE-2023-1668,Not Fixable,Moderate,8.2,100%,4.20,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",,2024-02-26T07:19:41.86667945Z,https://access.redhat.com/security/cve/CVE-2023-1668,"DOCUMENTATION: A flaw was found in openvswitch (OVS). When processing an IP packet with protocol 0, OVS will install the datapath flow without the action modifying the IP header. This issue results (for both kernel and userspace datapath) in installing a datapath flow matching all IP protocols (nw_proto is wildcarded) for this flow, but with an incorrect action, possibly causing incorrect handling of other IP packets with a != 0 IP protocol that matches this dp flow. 
            STATEMENT: In OpenShift Container Platform (OCP) the openvswitch rpm package is consumed from the RHEL Fast Datapath repositories, hence OCP openvswitch components are marked as ""Will not fix"".
            MITIGATION: For any version of Open vSwitch, preventing packets with network
protocol number '0' from reaching Open vSwitch will prevent the issue.
This is difficult to achieve because Open vSwitch obtains packets before
the iptables or nftables host firewall, so iptables or nftables on the
Open vSwitch host cannot ordinarily block the vulnerability.

Another method would be to add a high priority flow to the flow table
explicitly matching on nw protocol '0' and handling that traffic
separately:

   table=0 priority=32768,ip,ip_proto=0 actions=drop

This would need to be similarly done for IPv6 traffic as well."
production,,,RHSA-2024:0449,Fixable,Important,8.2,100%,6.00,"ip-10-0-204-100.us-east-2.compute.internal
ip-10-0-238-87.us-east-2.compute.internal
ip-10-0-158-188.us-east-2.compute.internal
ip-10-0-150-64.us-east-2.compute.internal",2024-01-25T00:00:00Z,2024-02-29T05:47:23.342076098Z,https://access.redhat.com/errata/RHSA-2024:0449,"The linux-firmware packages contain all of the firmware files that are required by various devices to operate.

Security Fix(es):

* hw: intel: Protection mechanism failure for some Intel(R) PROSet/Wireless WiFi (CVE-2022-46329)

* hw amd: Return Address Predictor vulnerability leading to information disclosure (CVE-2023-20569)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section."
